Date,Open,High,Low,Close,Volume
2025-04-22,608.0,659.99,595.41,631.41,73.81475
2025-04-23,604.76,699.0,601.18,606.0,361.11106
2025-04-24,606.49,609.25,593.53,601.92,235.91925
2025-04-25,601.09,610.97,598.88,599.8,156.2992
2025-04-26,602.46,621.22,599.86,612.14,130.1373
2025-04-27,611.95,617.24,598.61,605.56,236.88611
2025-04-28,605.76,610.16,599.35,607.88,171.17271
2025-04-29,607.74,611.21,599.47,602.98,265.9725
2025-04-30,602.72,609.53,592.02,601.02,142.03563
2025-05-01,601.21,606.37,599.1,599.42,65.22224
2025-05-02,600.92,604.98,596.23,601.91,199.0384
2025-05-03,603.42,607.1,596.38,599.66,256.0379
2025-05-04,599.92,600.08,585.95,588.57,108.88936
2025-05-05,588.57,600.0,585.47,599.12,113.3858
2025-05-06,597.6,770.68,594.69,602.85,423.86519
2025-05-07,603.0,608.89,596.84,603.41,637.39438
2025-05-08,602.96,628.2,601.17,628.1,633.05321
2025-05-09,628.2,670.21,624.0,670.04,666.69907
2025-05-10,671.41,679.53,649.98,663.87,363.75414
2025-05-11,664.38,675.01,648.63,651.46,1010.74916
2025-05-12,652.06,692.04,649.37,661.43,451.95225
2025-05-13,660.1,671.45,640.84,664.45,587.41604
2025-05-14,665.28,667.11,648.62,652.35,600.39426
2025-05-15,652.33,660.61,642.94,651.99,328.8811
2025-05-16,652.55,659.54,645.09,646.3,335.03971
2025-05-17,646.57,646.57,634.93,639.35,100.87545
2025-05-18,639.9,642.92,639.55,642.32,5.94928
